repo,submodule_path,category,implementation_depth,training_open,eval_open,deployment_open,notable_code_signals,main_takeaway,main_gap
PaddleOCR,external/competitors/paddleocr,direct_competitor,complete_framework,full,full,full,"ppocr; ppstructure; deploy; benchmark; tests; tools","industrial breadth plus benchmark and deployment discipline","very large codebase and less focused frontier parser path"
HunyuanOCR,external/competitors/hunyuanocr,direct_competitor,inference_release,none,limited,medium,"Hunyuan-OCR-vllm/run_hy_ocr.py","strong product-facing model release and prompts","training and ablation stack not open"
GLM-OCR,external/competitors/glm-ocr,direct_competitor,sdk_plus_finetune,partial,medium,full,"glmocr/; apps/; examples/finetune/; speculative vllm config","compact parser with serious systems thinking","RL implementation details not fully exposed"
FireRed-OCR,external/competitors/firered-ocr,direct_competitor,inference_release,none,none,limited,"qwen3_hf_infer.py; qwen3_vllm_infer.py","format-constrained RL direction is strategically important","public repo is mostly concept plus demo"
OCRVerse,external/competitors/ocrverse,direct_competitor,minimal_release,none,none,none,"README and assets only","important paper-level direction","not a usable code reference"
DeepSeek-OCR,external/competitors/deepseek-ocr,direct_competitor,inference_release,none,limited,medium,"DeepSeek-OCR-vllm; transformers and vllm paths","compressed-context OCR packaging is clean","training openness is weak"
MonkeyOCR,external/competitors/monkeyocr,direct_competitor,production_toolkit,limited,limited,medium,"parse.py; magic_pdf/; quantization docs","best public speed disclosure among strong open parsers","training stack is not comparably open"
dots.ocr,external/competitors/dots-ocr,direct_competitor,inference_release,none,limited,medium,"dots_ocr/parser.py; demo_vllm.py; svg variants","graphics-aware OCR is a real frontier direction","training stack is mostly absent publicly"
olmOCR,external/competitors/olmocr,direct_competitor,complete_framework,full,full,full,"olmocr/train/; olmocr/bench/; synth/; tests/","best open benchmark-plus-training reference","7B class is heavier than compact specialists"
OCRFlux,external/competitors/ocrflux,direct_competitor,production_toolkit,none,medium,medium,"ocrflux/inference.py; eval/; server.sh","practical pdf-to-markdown engineering matters","benchmarking is still vendor-shaped"
OpenOCR,external/competitors/openocr,direct_competitor,complete_framework,full,full,medium,"openrec/; opendet/; docs/opendoc.md; tools/train_doc","tiny specialist systems can be serious","less centered on one flagship frontier parser"
MinerU,external/competitors/mineru,direct_competitor,production_toolkit,none,limited,full,"mineru/cli/; vlm_server.py; docs/","excellent product/tooling surface","training stack is not central in public repo"
Chandra,external/competitors/chandra,direct_competitor,inference_release,none,medium,medium,"chandra/scripts/vllm.py; FULL_BENCHMARKS.md","polished narrow parser with strong benchmark posture","weak training transparency"
INF-MLLM-Infinity-Parser,external/competitors/inf-mllm,direct_competitor,production_toolkit,limited,medium,medium,"Infinity-Parser/; Infinity-Synth/; inference/","layout-aware RL plus synthetic data is a strong scanned-doc direction","repo is broad and less OCR-focused than olmocr"
UniMERNet,external/competitors/unimernet,specialist_math,sdk_plus_finetune,full,full,medium,"train.py; cdm/; configs/train/","formula OCR still needs a dedicated subsystem","not a full document parser"

